customer_id,Churn,Days_Since_Last_Flight,Flights_Last_3_Months,Flights_Last_12_Months,Travel_Frequency_Trend,Loyalty_Tier,Tier_Downgrade_Indicator,Points_Expired,Points_Redeemed_Last_12M,Delay_Rate_Percent,Cancellation_Count,Baggage_Mishandling_Count,Support_Ticket_Count_Last_6_12M,Avg_Resolution_Time_Hours,Days_Since_Last_Login,Login_Frequency_Last_90_Days,Total_Spend_Last_6_Months,Refund_Count,Ancillary_Purchase_Count,Disruption_Stress_Score,Engagement_Trend_Index
25,1,576,1,5,-54.7,Bronze,1,7131,0,78.07,3,0,9,109.66,38,0,0.0,4,1,68.42,-10.41
26,0,21,5,22,-4.85,Bronze,0,0,4,8.26,1,0,4,15.16,7,16,934.29,0,11,17.48,15.86
27,1,276,0,4,-100.0,Bronze,0,0,0,55.64,4,1,0,4.23,280,1,24.51,3,0,96.69,-75.6
28,0,70,3,14,-5.6,Platinum,0,1770,2,1.2,1,0,1,8.78,2,17,2308.94,3,11,15.36,18.34
29,0,93,1,17,-79.0,Bronze,0,0,6,11.66,1,0,3,14.04,6,20,2196.71,1,12,18.5,20.58
30,0,36,5,16,38.34,Gold,0,0,4,10.92,1,0,1,26.48,12,19,1156.6,0,16,18.28,17.82
31,1,339,2,4,87.49,Bronze,0,4791,0,94.69,4,0,0,1.48,29,1,0.0,4,0,88.41,-6.83
32,1,323,1,4,-40.96,Silver,0,15711,0,100.0,6,2,0,2.98,139,1,0.0,4,3,160.0,-36.97
33,1,121,0,3,-100.0,Bronze,1,9314,0,94.03,2,1,12,57.15,82,2,0.0,2,2,78.21,-20.24
34,1,336,1,3,-3.26,Bronze,0,1471,0,31.49,4,2,12,78.02,227,1,0.0,2,1,109.45,-61.08
35,0,53,4,19,-0.64,Platinum,0,370,4,20.34,0,0,2,12.53,1,12,2841.26,1,10,6.1,13.06
36,1,333,0,3,-100.0,Gold,0,9930,0,78.77,6,1,11,51.17,143,0,137.9,2,1,133.63,-39.18
37,0,48,5,11,123.38,Bronze,0,1568,6,17.09,1,0,2,15.25,0,8,2204.56,0,8,20.13,8.89
38,1,244,2,5,52.32,Bronze,1,15665,0,62.22,2,4,5,36.5,239,0,0.0,0,1,128.67,-65.48
39,1,438,0,1,-100.0,Bronze,1,8150,1,62.09,7,1,7,69.7,152,1,0.0,2,3,143.63,-40.53
40,0,73,2,13,7.62,Platinum,0,1357,3,16.2,0,0,4,13.36,40,13,3430.62,0,11,4.86,3.49
41,0,102,5,19,-30.5,Gold,0,1134,7,29.34,2,0,1,23.5,0,20,2581.39,0,9,38.8,22.22
42,1,439,0,3,-100.0,Bronze,1,4409,0,88.52,5,2,0,0.92,274,0,0.0,4,1,141.56,-75.07
43,0,42,4,19,58.71,Silver,0,0,2,10.69,0,0,1,26.03,19,13,614.76,0,5,3.21,9.24
44,1,182,0,6,-100.0,Bronze,1,7696,0,48.67,6,0,0,2.27,181,0,456.77,4,1,104.6,-49.59
45,0,0,6,19,50.3,Bronze,0,1116,5,10.34,0,0,3,22.81,34,14,1274.57,1,8,3.1,6.24
46,1,283,0,4,-100.0,Bronze,1,0,1,2.78,4,4,8,107.88,365,0,211.89,4,0,140.83,-100.0
47,1,352,0,6,-100.0,Bronze,0,1514,0,60.92,2,5,0,0.84,97,2,0.0,5,2,148.28,-24.35
48,1,219,0,4,-100.0,Gold,0,4055,0,41.74,2,2,6,30.28,223,1,867.47,4,2,82.52,-59.98
49,1,256,1,3,32.44,Silver,0,4057,0,82.52,2,0,10,76.75,195,1,0.0,0,2,54.76,-52.31
50,1,115,0,3,-100.0,Gold,0,5996,0,58.81,3,2,14,124.74,365,0,173.11,5,1,102.64,-100.0
51,1,294,0,2,-100.0,Silver,0,1852,0,69.43,1,2,0,3.29,337,0,0.0,0,1,75.83,-92.33
52,0,75,5,22,16.36,Bronze,0,3081,3,17.28,0,1,2,18.75,8,21,1782.28,0,8,25.18,21.14
53,1,206,0,4,-100.0,Bronze,1,12414,1,42.7,3,3,10,75.22,139,4,0.0,3,3,117.81,-33.64
54,0,58,4,12,43.66,Bronze,0,1210,1,8.65,0,0,2,29.52,0,16,1845.41,0,11,2.6,17.78
55,1,395,0,2,-100.0,Platinum,0,9442,0,78.14,5,3,0,1.91,162,1,0.0,6,5,158.44,-43.27
56,0,9,7,23,17.56,Gold,0,2171,4,5.87,1,0,3,9.14,0,10,3412.29,0,5,16.76,11.11
57,1,176,0,2,-100.0,Bronze,0,6103,0,14.22,7,2,9,31.44,155,1,0.0,1,0,149.27,-41.35
58,0,29,4,17,7.66,Platinum,0,0,5,23.22,0,1,2,24.5,4,14,2312.57,2,5,26.97,14.46
59,1,103,0,3,-100.0,Bronze,0,8049,0,7.65,5,0,0,4.9,182,1,0.0,2,1,77.3,-48.75
60,1,115,2,3,109.63,Bronze,1,5487,0,89.7,3,5,14,6.0,152,1,2.2,4,1,171.91,-40.53
61,1,514,0,5,-100.0,Silver,1,0,0,62.17,3,2,9,99.7,155,1,346.51,5,4,103.65,-41.35
62,0,94,3,19,-33.76,Bronze,0,1369,6,2.15,3,0,2,23.83,45,14,1264.02,1,13,45.64,3.23
63,0,22,3,42,1.58,Bronze,0,2456,1,12.92,0,0,3,23.84,5,21,2590.661472363117,0,2,3.88,21.96
64,1,361,0,2,-100.0,Bronze,0,4736,0,25.33,1,1,0,3.93,99,2,0.0,1,0,42.6,-24.9
65,1,162,2,7,-32.71,Silver,1,0,1,35.31,4,5,12,101.78,162,1,180.91,8,1,170.59,-43.27
66,0,50,8,21,88.32,Bronze,0,1923,0,2.72,2,0,1,38.81,0,12,1761.71,0,13,30.82,13.33
67,1,287,0,6,-100.0,Silver,0,4908,2,89.29,3,3,0,2.11,70,2,20.0,2,2,131.79,-16.96
68,0,54,2,27,-72.62,Gold,0,1865,2,7.49,1,0,3,8.81,1,21,3979.58,0,6,17.25,23.06
69,0,25,2,12,-46.62,Silver,0,0,3,6.36,0,0,3,24.9,10,17,1348.57,0,7,1.91,16.15
70,1,603,0,7,-100.0,Platinum,0,6851,0,69.61,6,4,0,3.08,136,0,170.49,1,4,190.88,-37.26
71,0,0,6,18,54.72,Bronze,0,1488,4,4.57,3,0,1,7.24,18,10,659.05,1,7,46.37,6.18
72,1,164,0,2,-63.11,Silver,0,1908,0,78.34,5,0,0,5.3,139,2,0.0,2,0,98.5,-35.86
73,1,570,0,3,-100.0,Bronze,1,9282,1,75.92,3,1,13,79.95,127,1,0.0,3,5,87.78,-33.68
74,1,512,0,4,-100.0,Bronze,1,13509,0,64.83,5,1,12,15.48,249,1,198.82,5,3,114.45,-67.11
75,1,182,0,3,-100.0,Bronze,0,19425,0,46.19,6,2,0,5.34,55,3,0.0,3,1,143.86,-11.74
76,0,32,3,15,-13.56,Platinum,0,2754,0,8.66,0,1,1,18.74,0,12,3023.38,0,8,22.6,13.33
77,1,317,0,6,-100.0,Bronze,1,11953,0,45.88,4,1,12,75.28,155,1,67.98,4,2,93.76,-41.35
78,0,32,4,15,15.09,Platinum,0,967,2,13.3,0,0,1,11.08,0,16,1638.39,0,17,3.99,17.78
79,0,0,6,24,24.1,Bronze,0,3815,3,25.77,1,0,2,40.61,0,16,528.11,1,8,22.73,17.78
80,1,131,0,5,-100.0,Silver,1,14975,0,67.98,8,3,0,3.9,180,2,0.0,4,1,200.39,-47.09
81,0,88,4,20,-36.29,Silver,0,0,3,1.38,0,0,3,20.85,0,23,704.56,0,6,0.41,25.56
82,1,212,0,2,-100.0,Platinum,0,7004,0,100.0,5,3,14,91.24,105,0,577.95,4,1,165.0,-28.77
83,0,0,6,24,-9.92,Gold,0,1694,4,10.25,2,0,2,20.45,3,14,2468.07,0,7,33.08,14.73
84,1,442,0,8,-100.0,Gold,0,917,0,78.12,4,2,0,3.63,365,1,0.0,3,2,123.44,-98.89
85,0,63,2,12,-33.25,Silver,0,853,1,14.92,0,0,1,27.42,0,18,747.82,2,6,4.48,20.0
86,1,215,1,3,14.73,Silver,0,774,0,83.69,5,2,13,85.11,149,1,159.17,4,3,140.11,-39.71
87,1,108,0,4,-100.0,Bronze,1,6576,0,89.17,1,3,5,16.7,270,1,0.0,0,1,101.75,-72.86
88,1,55,0,6,-100.0,Silver,1,7091,2,79.64,5,1,14,94.03,84,2,0.0,2,2,118.89,-20.79
89,0,35,6,15,69.08,Platinum,0,0,5,7.3,1,0,1,16.16,22,20,2452.12,0,4,17.19,16.19
90,0,45,2,18,-47.91,Gold,0,1462,3,7.22,0,1,1,16.37,14,16,1112.68,0,13,22.17,13.94
91,0,41,3,21,-37.71,Bronze,0,1012,3,33.17,2,1,2,22.41,13,15,447.2,0,10,59.95,13.11
92,0,0,8,29,10.31,Silver,0,0,1,0.0,1,0,2,23.85,6,15,3416.48,0,8,15.0,15.02
93,0,64,2,16,-86.31,Gold,0,0,4,3.48,0,0,1,14.61,44,17,1276.17,0,11,1.04,6.83
94,1,284,2,4,103.88,Bronze,0,13697,0,100.0,3,2,0,1.2,203,1,0.0,3,5,115.0,-54.51
95,1,623,0,4,-100.0,Bronze,0,4987,0,68.41,4,5,13,22.74,152,1,0.0,5,0,180.52,-40.53
96,1,191,0,6,-100.0,Bronze,1,8358,0,80.49,2,1,0,3.76,173,1,30.16,6,2,74.15,-46.29
97,0,42,2,13,-23.67,Platinum,0,1490,7,0.0,2,0,4,14.68,13,19,1348.53,0,7,30.0,17.55
98,0,120,2,15,0.54,Silver,0,1216,3,25.97,0,0,2,11.44,43,19,1066.36,0,11,7.79,9.33
99,0,53,5,15,82.97,Silver,0,1303,6,9.84,0,1,3,16.24,0,18,619.04,0,8,22.95,20.0
100,0,0,6,54,48.67,Silver,0,2739,3,10.09,0,0,2,19.95,0,14,9519.210857554228,2,10,3.03,15.56
101,1,430,0,3,-100.0,Bronze,1,8246,0,71.06,2,5,0,3.76,135,1,0.0,0,0,151.32,-35.88
102,0,52,3,13,-17.58,Silver,0,1493,7,21.83,1,0,2,10.47,13,14,1647.81,0,7,21.55,11.99
103,1,227,0,4,-100.0,Bronze,0,0,0,88.24,7,0,8,47.83,130,1,0.0,3,4,131.47,-34.51
104,0,27,5,20,7.48,Silver,0,128,3,18.48,1,0,3,34.17,4,23,1377.38,1,5,20.54,24.46
105,0,1,9,17,111.4,Silver,0,5051,3,0.56,2,0,2,14.06,9,16,625.08,0,9,30.17,15.31
106,1,528,1,4,-54.39,Silver,0,10444,0,63.55,6,1,11,111.78,189,0,0.0,4,2,129.06,-51.78
107,1,562,0,6,-100.0,Silver,1,2536,0,92.42,4,1,10,112.17,229,2,906.95,3,1,107.73,-60.52
108,0,5,7,24,9.51,Silver,0,3933,6,21.36,0,0,2,17.27,8,21,2467.08,1,9,6.41,21.14
109,0,34,2,12,-0.44,Silver,1,898,4,1.7,1,1,8,19.009457049029468,12,17,1470.51,0,10,35.51,15.6
110,1,594,0,7,-100.0,Bronze,0,3639,2,62.31,4,2,0,1.02,226,0,0.0,4,2,118.69,-61.92
111,0,22,2,20,-64.32,Gold,0,1431,5,31.51,1,2,1,8.51,18,18,1211.35,1,8,64.45,15.07
112,0,25,4,18,-1.09,Bronze,0,0,7,4.96,0,0,1,47.25,10,18,594.92,0,11,1.49,17.26
113,1,287,0,2,-100.0,Silver,0,7971,0,87.81,4,3,0,0.83,272,0,0.0,1,3,146.34,-74.52
114,1,354,0,4,-100.0,Silver,1,3867,0,15.52,3,1,9,72.31,29,2,332.38,6,0,69.66,-5.72
115,0,83,4,16,-19.06,Bronze,0,2251,2,7.61,1,0,2,29.58,7,23,1097.96,0,6,17.28,23.64
116,1,328,0,5,-100.0,Bronze,1,13918,0,38.17,3,4,0,3.89,50,1,0.0,3,1,136.45,-12.59
117,0,26,4,12,26.43,Gold,0,728,3,4.38,1,0,3,29.9,1,18,588.47,0,6,16.31,19.73
118,1,682,1,3,-11.56,Silver,0,13580,0,85.81,5,4,12,91.66,165,1,0.0,2,2,180.74,-44.09
119,1,281,2,0,167.78,Bronze,0,5786,0,53.04,4,2,0,0.8,161,1,0.0,1,0,115.91,-43.0
120,1,174,0,5,-100.0,Bronze,0,9532,0,90.63,4,0,0,4.58,268,0,0.0,1,2,87.19,-73.42
121,0,25,3,20,-18.79,Silver,0,1728,3,6.69,1,1,1,26.72,4,24,1277.0,0,4,37.01,25.57
122,1,407,1,5,-74.78,Platinum,0,18197,0,57.29,6,0,11,70.63,256,1,811.51,4,1,107.19,-69.03
123,0,39,6,22,8.59,Silver,0,0,3,16.42,0,0,1,18.19,11,11,1988.28,1,11,4.93,9.21
124,0,62,4,17,-3.73,Silver,0,2043,2,9.19,0,0,3,18.55,0,22,1288.83,0,4,2.76,24.44
125,1,129,0,4,-100.0,Silver,0,2096,0,39.08,2,5,14,29.58,272,1,729.28,4,0,141.72,-73.41
126,1,146,0,2,-100.0,Bronze,0,8147,0,24.22,1,1,13,66.79,85,1,0.0,1,0,42.27,-22.18
127,1,125,0,5,-100.0,Gold,0,764,0,94.18,3,3,0,1.37,133,0,253.48,6,2,133.25,-36.44
128,1,250,0,7,-100.0,Silver,1,9515,0,100.0,10,5,11,54.08,365,0,77.99,1,0,280.0,-100.0
129,0,26,5,12,39.85,Silver,0,0,3,27.28,3,1,1,13.76,38,18,780.63,1,7,73.18,9.59
130,1,147,0,6,-100.0,Bronze,1,0,2,82.25,4,3,7,69.1,81,1,0.0,3,2,144.68,-21.08
131,0,0,6,22,17.9,Platinum,0,0,3,14.4,1,0,2,26.81,34,13,2413.13,1,14,19.32,5.13
132,1,348,2,3,160.0,Silver,0,8962,0,7.3,3,3,0,4.18,100,2,210.64,1,2,107.19,-25.18
133,1,345,1,2,61.51,Silver,0,12092,1,54.2,1,1,12,64.54,86,2,0.0,7,1,51.26,-21.34
134,0,97,6,18,39.15,Bronze,0,3545,2,7.31,1,2,3,28.23,0,19,1087.3,0,11,57.19,21.11
135,0,51,5,20,-0.03,Bronze,0,0,6,8.39,0,0,1,13.05,17,19,1321.57,0,8,2.52,16.45
136,0,47,1,8,-32.48,Silver,0,0,6,9.33,0,0,1,26.68,1,16,1262.79,0,7,2.8,17.5
137,1,97,0,5,-100.0,Bronze,1,6059,1,65.22,1,1,14,37.99,214,1,0.0,1,0,54.57,-57.52
138,0,27,4,15,22.41,Silver,0,0,4,18.42,1,1,1,24.44,0,16,896.62,1,11,40.53,17.78
139,1,434,0,6,-92.17,Silver,0,8617,0,65.49,6,6,10,57.64,88,4,0.0,7,4,229.65,-19.67
140,0,12,6,25,-22.79,Gold,0,800,1,7.19,0,0,1,13.24,0,19,2955.69,0,8,2.16,21.11
141,1,240,0,1,-100.0,Silver,1,4065,0,88.98,9,0,12,77.93,264,1,0.0,6,2,161.69,-71.22
142,0,15,2,45,-25.84,Bronze,0,0,2,12.33,0,0,2,14.18,29,30,3015.1420842398325,0,12,3.7,25.39
143,0,71,6,19,33.48,Bronze,0,0,6,9.46,0,0,3,11.52,1,23,1096.44,1,5,2.84,25.28
144,1,211,1,2,53.53,Silver,0,8980,0,47.7,5,3,7,22.95,210,1,215.52,4,0,149.31,-56.42
145,0,13,8,17,114.46,Bronze,0,0,5,3.13,1,0,3,36.9,0,24,1529.4,0,4,15.94,26.67
146,0,24,5,24,-5.6,Bronze,0,495,6,8.76,0,0,1,6.59,0,17,796.18,0,5,2.63,18.89
147,0,25,1,15,-72.65,Gold,0,3812,0,7.34,0,1,3,19.02,2,17,1881.03,0,8,22.2,18.34
148,1,394,1,2,82.86,Silver,0,13412,1,15.66,3,2,13,63.78,111,1,0.0,3,3,89.7,-29.3
149,1,226,0,5,-100.0,Bronze,1,15268,0,49.25,2,3,12,97.41,141,0,0.0,5,1,104.78,-38.63
150,1,454,1,2,78.02,Gold,1,5296,0,86.38,4,3,0,4.03,365,0,0.0,1,1,145.91,-100.0
151,0,66,5,18,-3.79,Platinum,0,2001,3,6.82,0,0,2,20.2,13,15,1738.23,0,9,2.05,13.11
152,0,29,3,15,-26.8,Gold,0,1162,2,0.0,2,1,2,22.08,62,12,879.91,1,9,50.0,-3.65
153,1,425,0,3,-100.0,Silver,1,2221,0,32.58,3,4,0,4.72,169,1,0.0,8,3,134.77,-45.19
154,0,97,5,20,16.5,Platinum,0,0,5,12.85,0,0,1,9.3,0,19,3892.03,0,8,3.85,21.11
155,0,0,7,27,36.98,Platinum,0,730,2,0.0,0,0,1,15.96,0,20,5120.2,0,4,0.0,22.22
156,0,57,3,16,-27.36,Bronze,0,750,1,7.04,2,0,2,19.71,25,12,1519.89,0,8,32.11,6.48
157,0,21,5,22,-1.14,Silver,0,1690,5,10.28,0,0,2,26.42,0,20,1604.97,0,5,3.08,22.22
158,1,408,0,7,-100.0,Silver,0,0,0,58.77,1,0,0,4.5,67,1,0.0,4,3,32.63,-17.25
159,0,154,4,23,-24.94,Bronze,0,1473,4,7.34,1,0,2,12.72,61,18,1148.05,0,9,17.2,3.29
160,1,140,0,1,-100.0,Bronze,0,15299,1,90.78,4,2,0,3.59,56,2,0.0,2,3,127.23,-13.12
161,1,558,1,12,-35.88,Bronze,1,4464,0,62.85,3,3,0,5.6,331,0,0.0,3,2,123.86,-90.68
162,1,308,0,4,-100.0,Bronze,0,4752,0,56.26,9,2,0,0.65,31,1,70.11,3,1,191.88,-7.38
163,0,51,3,14,2.81,Silver,1,794,3,10.08,0,0,6,17.315712608342317,4,16,1384.02,1,7,3.02,16.68
164,1,236,2,4,32.86,Bronze,0,0,1,94.28,4,5,0,5.88,365,0,0.0,5,3,188.28,-100.0
165,1,553,0,3,-100.0,Silver,0,6078,0,54.18,7,1,0,2.95,228,0,0.0,3,1,141.25,-62.47
166,1,283,0,4,-100.0,Bronze,1,24706,0,80.68,4,2,0,2.82,65,0,324.43,4,0,124.2,-17.81
167,0,94,1,18,-94.74,Silver,0,1963,3,18.7,0,0,2,11.17,2,16,2045.42,1,8,5.61,17.23
168,0,26,6,20,34.12,Platinum,0,1282,3,25.65,2,0,0,5.09,15,15,2285.0,1,5,37.7,12.56
169,0,92,6,21,32.68,Platinum,0,0,3,25.34,1,0,2,25.33,0,23,3764.03,0,10,22.6,25.56
170,1,288,0,1,-100.0,Silver,1,19379,0,37.84,6,2,0,2.19,79,0,0.0,3,2,141.35,-21.64
171,1,500,0,3,-100.0,Platinum,0,8295,0,79.75,5,3,0,4.43,108,0,0.0,4,3,158.93,-29.59
172,0,48,3,20,-44.27,Bronze,0,0,2,1.13,2,0,2,1.2,2,18,661.81,0,6,30.34,19.45
173,0,12,1,10,-48.09,Bronze,0,0,6,10.63,0,0,2,31.42,4,14,649.5,0,10,3.19,14.46
174,0,80,2,45,-63.22,Bronze,0,2856,1,20.53,0,0,0,2.9,8,14,4125.259046524818,0,9,6.16,13.36
175,1,149,0,4,-100.0,Silver,1,16156,0,16.68,4,2,6,123.97,123,1,0.0,3,1,105.0,-32.59
176,1,299,0,6,-100.0,Gold,1,4011,0,79.83,3,3,0,4.12,99,2,37.98,2,2,128.95,-24.9
177,1,204,1,3,15.56,Silver,1,17180,0,80.3,4,2,12,81.99,135,3,45.5,3,0,124.09,-33.65
178,0,79,5,23,-4.49,Bronze,0,2511,3,16.68,1,0,2,12.18,15,15,1654.01,2,7,20.0,12.56
179,1,489,0,1,-100.0,Bronze,0,9298,0,79.1,6,1,13,106.65,288,1,0.0,4,1,133.73,-77.79
180,0,49,3,12,3.08,Silver,0,973,3,0.0,3,0,3,33.39,8,13,518.45,1,8,45.0,12.25
181,0,31,4,14,25.93,Bronze,0,1340,2,8.35,0,2,3,24.97,35,21,748.32,0,8,42.5,13.74
182,1,544,0,2,-100.0,Bronze,0,12123,0,67.6,4,3,9,84.69,185,2,0.0,1,0,140.28,-48.46
183,0,34,4,18,4.54,Silver,0,675,5,1.21,0,1,1,13.12,4,14,968.0,2,12,20.36,14.46
184,1,288,2,2,200.0,Bronze,1,4765,0,86.76,4,2,8,49.86,186,1,0.0,1,1,126.03,-49.85
185,0,28,3,19,-13.95,Platinum,0,1428,3,39.39,1,0,3,27.88,30,18,3172.4,1,7,26.82,11.78
186,0,0,7,21,63.2,Bronze,0,2133,2,13.83,0,0,1,9.19,13,17,651.39,0,10,4.15,15.33
187,1,94,0,2,-100.0,Silver,1,11113,0,66.08,4,2,0,1.56,151,1,0.0,2,1,119.82,-40.26
188,0,85,1,14,-49.73,Silver,0,1632,5,22.05,1,0,1,20.52,30,14,1555.22,0,4,21.62,7.34
189,1,229,0,1,-100.0,Bronze,0,26371,0,92.48,3,2,0,3.25,132,1,0.0,2,4,112.74,-35.05
190,1,99,0,6,-86.02,Platinum,0,14231,1,85.76,5,0,0,3.52,295,1,1050.62,3,0,100.73,-79.71
191,0,64,6,18,35.08,Silver,0,104,2,4.14,1,0,2,25.25,0,24,949.63,1,9,16.24,26.67
192,1,136,1,5,-19.39,Bronze,1,4699,0,59.29,2,2,10,37.31,152,0,0.0,5,3,87.79,-41.64
193,1,139,0,4,-100.0,Bronze,0,0,0,68.17,1,1,0,1.28,249,0,0.0,3,3,55.45,-68.22
194,1,322,2,12,53.52,Bronze,0,3795,0,55.17,2,2,13,107.49,156,1,0.0,1,1,86.55,-41.63
195,0,38,2,11,-13.67,Silver,0,731,3,25.62,2,0,3,13.8,1,22,1442.65,1,6,37.69,24.17
196,1,463,0,5,-100.0,Silver,1,8579,0,22.78,1,2,12,70.49,283,0,0.0,1,3,61.83,-77.53
197,1,160,2,3,167.92,Silver,0,4568,0,43.62,4,0,0,2.08,80,2,0.0,2,1,73.09,-19.7
198,1,337,0,2,-100.0,Silver,1,8772,0,11.53,5,2,13,14.27,61,1,22.5,2,1,118.46,-15.6
199,1,371,0,5,-100.0,Bronze,0,6915,0,54.51,6,2,11,101.45,74,2,78.22,3,1,146.35,-18.05
200,1,459,0,2,-100.0,Bronze,0,14146,0,45.18,4,4,13,43.33,218,0,0.0,5,0,153.55,-59.73
201,0,22,5,23,-21.98,Platinum,0,1478,8,3.12,1,0,2,29.71,0,16,599.96,1,4,15.94,17.78
202,0,31,3,15,-29.96,Bronze,0,0,6,4.75,1,0,2,31.71,14,24,639.67,1,4,16.42,22.83
203,1,648,0,5,-100.0,Bronze,0,0,0,57.38,1,3,14,65.84,208,0,0.0,2,3,92.21,-56.99
204,1,274,0,5,-100.0,Bronze,1,7330,0,70.48,6,3,0,4.52,50,0,0.0,6,2,171.14,-13.7
205,0,32,4,15,32.62,Silver,0,1600,5,27.66,0,0,2,5.62,0,21,1144.4,0,4,8.3,23.33
206,1,381,0,6,-100.0,Silver,0,10466,0,39.28,3,4,13,104.98,53,0,37.53,4,1,136.78,-14.52
207,0,40,3,21,-25.88,Bronze,0,2102,3,24.72,0,0,3,6.23,13,13,1453.78,1,8,7.42,10.88
208,1,339,1,3,-0.89,Silver,1,0,0,90.38,4,2,0,1.75,270,2,0.0,2,2,127.11,-71.75
209,0,30,6,22,35.76,Bronze,0,1161,5,1.87,0,0,4,23.36,0,17,1200.3,1,12,0.56,18.89
210,1,321,1,3,0.81,Bronze,1,1846,0,28.49,3,1,13,69.9,117,0,0.0,3,5,73.55,-32.05
211,1,218,2,1,149.31,Bronze,0,15145,1,82.53,1,2,0,1.93,365,0,0.0,5,0,79.76,-100.0
212,0,4,10,21,93.57,Platinum,0,2782,3,4.97,1,0,1,26.35,0,20,3627.64,0,11,16.49,22.22
213,0,48,3,48,-12.66,Bronze,0,1750,2,9.52,1,0,1,16.53,1,20,7475.46968535936,0,5,17.86,21.95
214,0,46,6,27,12.32,Silver,0,2182,2,19.09,1,1,2,10.86,0,25,563.0,0,7,40.73,27.78
215,0,58,2,21,-47.99,Silver,0,36,3,27.27,0,0,2,20.0,7,24,1585.06,0,8,8.18,24.75
216,0,29,2,12,-47.42,Silver,0,3065,3,4.75,1,0,2,21.2,21,19,1120.19,0,8,16.42,15.36
217,0,39,2,10,3.2,Bronze,0,2057,2,27.5,2,1,2,31.16,9,23,989.51,0,9,58.25,23.09
218,0,13,4,20,-18.61,Gold,0,939,7,19.17,0,0,1,2.31,10,19,2674.09,1,5,5.75,18.37
219,0,34,3,14,3.15,Silver,0,1852,4,5.84,1,0,2,24.42,6,24,1021.76,0,8,16.75,25.02
220,1,131,0,4,-100.0,Bronze,1,7585,0,98.67,5,2,13,56.09,327,0,0.0,5,0,144.6,-89.59
