Passenger_Demographic_Segment,Age_Band,Home_Region,Traveller_Type,Income_Segment,Seasonal_Behaviour_Adjustment,Rolling_Flights_7_Days,Rolling_Flights_30_Days,Rolling_Flights_90_Days,Rolling_Flights_180_Days,Booking_Intent_Drop,Loyalty_Redemption_Trend,App_Web_Engagement_Slope,Email_Offer_Engagement_Decline,Support_Ticket_Momentum,Delay_Rate_Percent,Cancellation_Count,Baggage_Mishandling_Count,Support_Ticket_Count_6_12M,Avg_Resolution_Time_Hours,Days_Since_Last_Flight,Flights_Last_3_Months,Loyalty_Tier,Tier_Downgrade_Indicator,Days_Since_Last_Login,Refund_Count,Ancillary_Purchase_Count,Disruption_Stress_Score,Behavioural_Drift_Score,Engagement_Trend_Index,Churned
65+_Europe_Business_High,65+,Europe,Business,High,7.95,0,0,0,1,-43.5,-35.45,-1.406,-66.91,15.98,4.19,6,0,2,7.09,607,0,Silver,0,350,0,1,91.26,68.2,-1.064,1
65+_Asia-Pacific_Leisure_Medium,65+,Asia-Pacific,Leisure,Medium,18.76,2,2,2,3,16.83,-22.76,0.071,10.0,55.95,28.88,0,0,3,12.81,52,7,Gold,0,3,0,3,8.66,34.94,2.0,0
36-45_North America_Business_Low,36-45,North America,Business,Low,-10.76,0,3,1,4,18.89,-16.44,0.383,-7.77,53.35,50.33,0,0,2,31.78,5,10,Bronze,0,4,0,9,15.1,32.09,-0.81,0
26-35_Middle East_Business_Medium,26-35,Middle East,Business,Medium,30.0,1,2,4,7,17.34,1.49,0.509,-30.35,22.27,55.02,0,1,1,13.63,76,6,Silver,0,7,3,1,36.51,4.18,0.583,0
36-45_North America_Mixed_High,36-45,North America,Mixed,High,9.27,0,1,3,7,-13.5,-2.37,0.237,-12.19,74.77,8.55,0,0,3,17.79,14,11,Silver,0,28,1,9,2.57,45.47,-0.979,0
65+_Europe_Mixed_Low,65+,Europe,Mixed,Low,-0.62,0,0,1,2,-22.22,23.65,-1.109,-1.34,72.2,20.07,0,0,1,4.55,571,0,Gold,1,144,1,0,6.02,44.67,-2.189,1
18-25_North America_Leisure_High,18-25,North America,Leisure,High,-7.07,0,0,3,0,-34.79,17.92,-1.498,5.31,70.68,0.0,4,0,1,16.38,394,0,Bronze,1,362,0,1,60.0,81.63,-1.843,1
46-55_Middle East_Business_High,46-55,Middle East,Business,High,1.02,0,2,6,8,14.99,-17.72,0.593,-4.68,71.67,35.56,0,0,1,6.73,6,5,Silver,0,28,0,5,10.67,36.25,1.028,0
26-35_Asia-Pacific_Business_Low,26-35,Asia-Pacific,Business,Low,-31.6,0,4,1,2,-32.26,0.84,-0.863,-4.01,2.1,4.26,1,2,1,6.96,196,0,Gold,0,60,1,2,56.28,53.74,-0.767,1
56-65_Asia-Pacific_Leisure_Low,56-65,Asia-Pacific,Leisure,Low,-6.42,0,2,5,13,-22.09,-16.48,0.625,-13.13,36.13,15.1,1,0,3,9.44,16,6,Gold,0,18,0,6,19.53,0.0,0.422,0
56-65_Asia-Pacific_Business_Low,56-65,Asia-Pacific,Business,Low,14.95,0,0,1,3,1.23,11.46,-0.958,-10.58,64.1,36.6,2,0,4,32.61,707,0,Silver,1,359,0,0,40.98,78.15,-1.335,1
18-25_Middle East_Leisure_Low,18-25,Middle East,Leisure,Low,-10.96,1,3,1,3,9.78,15.93,-0.119,10.0,67.81,35.92,1,0,3,8.2,90,3,Silver,0,15,0,4,25.78,81.28,0.865,0
36-45_North America_Leisure_Medium,36-45,North America,Leisure,Medium,-33.48,0,0,3,6,-21.7,-54.01,0.726,-36.62,82.02,16.76,0,0,2,5.5,59,2,Bronze,0,1,1,5,5.03,50.97,0.749,0
36-45_Asia-Pacific_Mixed_Low,36-45,Asia-Pacific,Mixed,Low,-24.72,0,3,1,3,-59.33,-9.03,0.179,-14.09,41.27,25.79,0,0,4,10.55,67,12,Silver,0,24,2,8,7.74,61.18,1.146,0
65+_Asia-Pacific_Business_Medium,65+,Asia-Pacific,Business,Medium,-9.57,0,1,2,3,11.91,-27.11,-0.107,-14.83,60.68,35.24,0,0,3,21.1,264,0,Gold,0,315,0,0,10.57,15.05,-0.238,1
18-25_North America_Business_Medium,18-25,North America,Business,Medium,0.05,0,3,0,0,-16.18,-52.33,-0.88,-23.33,73.43,10.18,0,0,1,40.02,402,0,Platinum,0,137,0,2,3.05,31.73,-0.781,1
65+_North America_Mixed_High,65+,North America,Mixed,High,-17.52,0,1,0,0,18.12,-44.29,-1.532,-39.14,27.44,46.31,0,0,2,7.56,567,0,Bronze,0,228,0,1,13.89,47.11,-2.685,1
65+_Europe_Leisure_Medium,65+,Europe,Leisure,Medium,-25.4,1,0,1,1,-1.96,-25.28,-0.497,-27.21,62.23,31.11,0,0,2,84.94,516,0,Platinum,0,271,1,2,9.33,64.75,-2.022,1
56-65_North America_Business_Low,56-65,North America,Business,Low,-15.89,1,1,1,2,-39.55,-17.12,0.192,-34.04,72.07,6.85,1,0,2,66.73,76,2,Bronze,0,6,0,6,17.05,34.42,0.953,0
65+_Europe_Business_Medium,65+,Europe,Business,Medium,24.0,0,0,0,0,-5.16,-17.36,-0.804,-30.7,31.87,24.24,0,0,5,6.46,565,1,Bronze,0,253,2,0,7.27,8.62,-3.0,1
65+_North America_Leisure_Medium,65+,North America,Leisure,Medium,30.0,0,1,0,0,-37.56,10.6,-0.691,10.0,74.43,35.39,0,0,3,4.9,80,6,Bronze,0,27,0,4,10.62,73.13,0.958,0
56-65_Asia-Pacific_Leisure_Low,56-65,Asia-Pacific,Leisure,Low,2.93,0,2,0,1,-19.53,-44.09,-1.097,-27.51,39.94,14.49,5,3,3,15.59,663,0,Platinum,0,200,1,1,100.0,60.63,-1.521,1
36-45_North America_Mixed_Medium,36-45,North America,Mixed,Medium,-0.92,0,1,0,0,-13.07,19.98,-0.434,-23.5,35.92,21.65,0,0,1,6.14,677,0,Silver,1,297,5,1,6.5,55.7,-0.837,1
26-35_Europe_Business_High,26-35,Europe,Business,High,11.91,0,1,1,2,7.53,7.71,-0.503,-52.97,27.82,22.97,0,1,3,20.21,24,4,Bronze,0,30,2,7,26.89,49.69,0.14,0
46-55_Latin America_Leisure_Low,46-55,Latin America,Leisure,Low,-25.46,0,2,1,3,-17.76,-5.25,-0.05,-0.97,50.6,26.66,0,0,2,4.23,29,7,Bronze,1,22,0,5,8.0,42.73,0.012,0
65+_Asia-Pacific_Leisure_Low,65+,Asia-Pacific,Leisure,Low,-13.29,0,1,0,1,-51.26,5.59,-0.866,1.49,63.93,42.36,0,0,1,5.6,599,0,Platinum,1,144,0,0,12.71,25.64,-2.146,1
26-35_Europe_Business_High,26-35,Europe,Business,High,-36.41,2,3,3,6,-27.2,17.51,0.338,10.0,41.15,25.65,0,0,3,10.53,2,11,Gold,0,19,0,1,7.7,4.46,0.252,0
56-65_Asia-Pacific_Mixed_Low,56-65,Asia-Pacific,Mixed,Low,2.01,0,0,2,1,-29.0,-17.27,-0.87,-13.4,15.89,33.02,0,0,1,43.51,247,0,Bronze,0,268,2,0,9.91,79.69,-0.613,1
26-35_North America_Leisure_Low,26-35,North America,Leisure,Low,-5.66,0,1,1,4,-37.07,25.27,0.582,-39.14,42.64,38.02,0,3,3,11.68,29,3,Bronze,0,14,0,5,71.41,31.25,0.408,0
46-55_North America_Mixed_Low,46-55,North America,Mixed,Low,-16.82,0,0,1,1,-9.13,-4.81,-1.257,-9.23,58.88,20.52,1,0,4,6.24,441,0,Gold,1,87,5,1,21.16,68.26,-2.129,1
26-35_North America_Mixed_Medium,26-35,North America,Mixed,Medium,24.17,0,0,0,0,-31.14,-5.51,-0.392,-69.0,77.7,24.91,4,0,3,17.82,623,0,Platinum,0,345,0,0,67.47,47.53,0.019,1
26-35_Latin America_Business_High,26-35,Latin America,Business,High,13.63,0,1,1,0,-42.9,-10.31,-0.951,-58.3,15.66,66.44,1,0,1,9.32,656,0,Gold,0,206,0,1,34.93,87.23,-1.043,1
26-35_Asia-Pacific_Leisure_Medium,26-35,Asia-Pacific,Leisure,Medium,-5.47,0,0,1,1,-46.26,-16.67,-0.55,-1.78,76.4,46.7,0,0,2,4.11,317,0,Platinum,0,104,0,0,14.01,30.83,-1.603,1
26-35_Middle East_Leisure_Low,26-35,Middle East,Leisure,Low,-16.95,0,0,0,1,-32.31,22.61,-0.372,-7.22,52.09,38.66,0,0,3,12.54,609,1,Silver,1,286,4,0,11.6,43.96,-3.0,1
18-25_Latin America_Leisure_Low,18-25,Latin America,Leisure,Low,-0.34,0,0,0,0,-4.36,16.73,-1.268,-7.08,52.36,63.81,0,1,1,21.49,540,0,Gold,0,178,2,4,39.14,43.6,-1.456,1
65+_Latin America_Leisure_Medium,65+,Latin America,Leisure,Medium,-3.42,1,4,10,12,20.0,-3.52,0.182,-5.45,43.59,3.62,0,0,2,28.65,24,10,Platinum,0,19,1,4,1.09,54.1,1.323,0
56-65_Asia-Pacific_Leisure_High,56-65,Asia-Pacific,Leisure,High,-12.68,0,1,1,3,-2.77,20.24,-1.205,-22.14,77.91,45.26,0,1,3,64.35,514,0,Gold,0,236,1,2,33.58,81.22,-0.924,1
46-55_Asia-Pacific_Business_Medium,46-55,Asia-Pacific,Business,Medium,-19.66,0,3,3,4,-7.73,1.66,1.0,-5.44,64.46,19.21,0,1,9,13.87,45,7,Silver,0,17,0,3,25.76,8.51,-0.285,0
56-65_Europe_Leisure_Medium,56-65,Europe,Leisure,Medium,-1.36,0,0,2,1,-20.35,-26.85,-1.191,-45.6,35.43,23.79,0,0,1,16.62,612,0,Gold,0,99,3,0,7.14,53.1,-1.547,1
18-25_North America_Business_High,18-25,North America,Business,High,-1.62,1,3,7,11,16.78,21.0,0.33,-10.34,39.38,20.74,0,0,1,19.16,74,12,Gold,0,14,0,6,6.22,37.9,0.528,0
18-25_Asia-Pacific_Business_Low,18-25,Asia-Pacific,Business,Low,-21.18,0,0,1,0,-7.71,4.3,-1.615,-69.55,62.23,16.66,0,1,3,13.41,512,0,Gold,1,122,1,2,25.0,51.58,-1.163,1
18-25_Asia-Pacific_Leisure_Low,18-25,Asia-Pacific,Leisure,Low,-34.44,0,0,1,3,20.0,-14.96,0.711,10.0,60.05,8.41,7,0,1,25.29,51,2,Bronze,0,13,1,8,100.0,62.07,0.808,0
65+_Latin America_Business_High,65+,Latin America,Business,High,-10.12,0,0,0,1,-23.86,2.46,-1.283,4.69,69.26,27.24,0,5,3,27.64,419,0,Bronze,1,106,0,1,100.0,39.43,-2.469,1
18-25_Europe_Business_Medium,18-25,Europe,Business,Medium,-26.48,0,1,1,2,-2.29,-27.06,-0.751,2.3,77.89,1.43,0,0,2,51.09,261,0,Silver,0,197,0,3,0.43,68.31,-2.458,1
26-35_Asia-Pacific_Business_Medium,26-35,Asia-Pacific,Business,Medium,-16.94,0,1,1,0,5.67,3.62,-1.197,-13.43,67.94,32.41,1,0,2,125.09,414,0,Gold,0,334,0,0,24.72,75.5,-3.0,1
56-65_Asia-Pacific_Leisure_Medium,56-65,Asia-Pacific,Leisure,Medium,-13.27,0,0,3,4,20.0,5.7,0.295,-58.38,41.14,20.77,0,0,3,16.21,3,2,Bronze,0,18,0,3,6.23,2.0,-0.158,0
36-45_North America_Business_Medium,36-45,North America,Business,Medium,1.8,0,3,3,6,-17.53,-10.38,0.131,-20.48,54.0,6.13,0,0,2,19.76,76,3,Silver,1,16,0,7,1.84,5.84,-0.706,0
46-55_Asia-Pacific_Leisure_Medium,46-55,Asia-Pacific,Leisure,Medium,-13.43,0,0,0,3,-2.15,12.6,-0.58,-30.8,51.26,34.56,1,0,3,9.69,411,0,Bronze,0,150,3,0,25.37,20.28,-0.562,1
18-25_Asia-Pacific_Leisure_High,18-25,Asia-Pacific,Leisure,High,-0.9,0,1,1,0,16.8,-37.51,-1.482,-44.89,56.25,33.03,1,0,1,20.99,612,0,Gold,0,121,0,3,24.91,50.38,-1.356,1
56-65_Europe_Business_Low,56-65,Europe,Business,Low,-18.54,0,1,2,4,7.91,-28.17,0.507,-21.35,26.19,55.7,0,0,2,19.38,19,11,Bronze,0,25,0,6,16.71,41.78,1.56,0
18-25_Asia-Pacific_Leisure_Medium,18-25,Asia-Pacific,Leisure,Medium,-0.06,0,1,3,2,-14.85,-23.59,-2.0,8.16,46.54,17.75,1,0,3,57.49,476,0,Gold,1,283,0,1,20.33,89.76,-0.416,1
65+_North America_Business_Low,65+,North America,Business,Low,-9.86,2,4,2,5,-6.9,-3.99,0.292,-26.89,35.2,25.59,0,5,2,15.89,10,12,Silver,0,24,0,6,100.0,0.0,0.098,0
18-25_Europe_Leisure_High,18-25,Europe,Leisure,High,-0.63,1,5,6,12,18.38,13.99,0.28,-45.21,41.42,27.56,0,0,0,21.76,57,2,Platinum,0,19,0,4,8.27,27.68,-0.67,0
18-25_Asia-Pacific_Business_Low,18-25,Asia-Pacific,Business,Low,14.49,0,1,1,2,3.39,-44.75,-1.236,-35.17,39.11,20.45,0,0,1,21.12,199,0,Platinum,0,303,5,0,6.14,60.78,-1.209,1
18-25_Europe_Business_High,18-25,Europe,Business,High,-7.82,2,3,10,14,20.0,5.69,-0.132,-30.87,65.76,7.29,3,3,2,53.83,40,5,Gold,0,11,1,4,100.0,38.1,0.522,0
18-25_Europe_Business_Low,18-25,Europe,Business,Low,-7.29,0,0,4,0,16.93,-28.49,-1.135,-46.39,9.8,11.52,0,1,1,22.51,274,1,Silver,1,336,0,0,23.45,35.71,-1.714,1
46-55_North America_Business_Medium,46-55,North America,Business,Medium,1.68,0,0,0,0,-23.43,-19.17,-2.0,-55.42,63.22,21.93,1,2,1,13.2,317,0,Bronze,0,202,0,0,61.58,88.18,-1.345,1
56-65_North America_Leisure_High,56-65,North America,Leisure,High,2.86,0,0,1,0,-64.01,13.07,-1.078,-26.86,62.74,0.0,1,0,1,37.02,233,0,Bronze,1,359,0,1,15.0,14.72,-1.692,1
65+_Europe_Business_Medium,65+,Europe,Business,Medium,-40.72,0,0,0,1,-19.97,-4.63,-0.89,-36.78,44.07,30.14,0,0,1,6.67,340,0,Silver,0,277,6,1,9.04,80.72,-1.935,1
18-25_Europe_Business_Medium,18-25,Europe,Business,Medium,-22.19,1,4,10,12,-37.8,-19.8,-0.475,-5.8,20.56,33.59,0,0,2,12.84,75,2,Gold,0,21,0,7,10.08,68.72,1.044,0
18-25_Asia-Pacific_Business_Medium,18-25,Asia-Pacific,Business,Medium,-1.43,0,2,3,1,-48.26,-16.24,-0.988,-10.28,60.82,38.66,0,0,2,24.32,209,0,Silver,0,213,1,2,11.6,39.1,0.042,1
18-25_Middle East_Mixed_Low,18-25,Middle East,Mixed,Low,19.63,0,4,4,5,-29.15,-10.76,-0.672,-24.66,27.0,59.15,0,0,1,7.91,22,5,Silver,0,7,0,7,17.74,83.85,-0.275,0
18-25_North America_Leisure_High,18-25,North America,Leisure,High,-27.23,0,2,2,4,-23.82,-8.32,0.947,-34.73,1.52,49.39,0,0,1,20.65,80,3,Silver,0,25,0,7,14.82,0.0,-0.866,0
26-35_North America_Business_Low,26-35,North America,Business,Low,-13.58,0,1,1,1,15.02,-14.0,-0.729,-5.6,59.48,44.07,0,0,0,34.29,698,0,Gold,0,223,2,0,13.22,57.73,-0.921,1
26-35_Europe_Business_High,26-35,Europe,Business,High,-1.34,1,1,1,3,-51.17,-18.0,1.0,10.0,65.0,0.0,1,1,3,137.92,33,12,Bronze,1,30,0,5,35.0,29.45,0.789,0
36-45_Europe_Mixed_High,36-45,Europe,Mixed,High,-19.57,0,1,0,0,10.32,2.15,-0.723,-35.33,52.84,34.62,1,2,0,14.62,522,0,Silver,1,215,0,1,65.39,55.1,-0.366,1
18-25_Asia-Pacific_Business_Medium,18-25,Asia-Pacific,Business,Medium,3.12,0,2,8,9,-45.87,10.53,-0.225,-19.01,29.29,24.98,1,0,2,60.49,65,8,Silver,0,14,3,5,22.49,0.55,0.71,0
36-45_Middle East_Mixed_Low,36-45,Middle East,Mixed,Low,5.76,0,0,1,1,-37.93,9.21,-1.316,-55.53,56.51,21.83,1,4,2,27.68,475,0,Silver,0,105,0,3,100.0,49.56,-1.843,1
46-55_Middle East_Business_Low,46-55,Middle East,Business,Low,1.59,0,3,9,13,20.0,-11.69,-0.556,-34.16,34.53,26.4,0,0,2,19.31,38,10,Silver,0,24,0,2,7.92,34.38,1.306,0
36-45_North America_Business_High,36-45,North America,Business,High,-1.98,0,0,1,2,-37.83,6.08,-0.409,-3.68,65.19,37.99,0,0,3,18.77,246,0,Bronze,0,223,1,2,11.4,85.17,-0.779,1
56-65_Latin America_Leisure_High,56-65,Latin America,Leisure,High,-20.25,0,1,0,1,-52.05,-71.34,-0.739,-3.33,60.17,48.89,1,0,2,7.91,328,1,Silver,0,289,0,2,29.67,48.89,-1.839,1
26-35_North America_Leisure_Medium,26-35,North America,Leisure,Medium,-9.43,0,0,0,2,-65.51,-15.04,-1.516,-17.97,68.67,57.83,0,0,2,17.0,563,0,Silver,0,182,1,0,17.35,37.82,-1.585,1
26-35_Asia-Pacific_Mixed_Medium,26-35,Asia-Pacific,Mixed,Medium,14.05,1,3,5,7,20.0,27.54,-0.08,-19.54,28.48,42.13,0,2,1,7.14,59,12,Gold,0,18,1,6,52.64,23.39,0.575,0
18-25_Asia-Pacific_Leisure_Low,18-25,Asia-Pacific,Leisure,Low,0.45,0,3,6,7,-61.03,10.39,-0.754,-39.73,60.77,66.14,1,2,2,58.08,4,4,Gold,0,9,0,6,74.84,30.35,0.019,0
18-25_Asia-Pacific_Leisure_Medium,18-25,Asia-Pacific,Leisure,Medium,-40.1,0,0,2,2,-21.73,-2.83,0.1,8.47,71.72,40.45,0,0,1,10.5,68,11,Bronze,0,24,0,4,12.13,19.87,0.838,0
46-55_Europe_Leisure_High,46-55,Europe,Leisure,High,7.3,0,2,1,4,-13.77,5.27,0.179,-2.87,82.09,36.68,0,0,1,4.23,42,4,Silver,0,29,0,8,11.0,33.18,1.679,0
65+_Europe_Leisure_Low,65+,Europe,Leisure,Low,1.12,0,1,4,6,-29.6,18.61,-0.186,-3.67,78.28,21.67,0,0,2,34.07,38,4,Silver,0,17,0,3,6.5,0.0,0.158,0
46-55_Asia-Pacific_Leisure_High,46-55,Asia-Pacific,Leisure,High,-10.15,0,0,0,1,-3.86,-25.97,-1.015,-18.89,13.67,56.18,4,0,4,17.74,614,0,Silver,1,108,0,0,76.85,64.12,-1.409,1
56-65_North America_Business_Low,56-65,North America,Business,Low,-8.12,0,1,0,0,8.57,-21.5,-0.706,-53.62,66.76,14.12,1,3,2,15.59,572,0,Silver,0,319,0,0,79.24,67.34,-1.518,1
18-25_North America_Business_High,18-25,North America,Business,High,-14.2,0,0,3,0,-12.64,-19.71,-0.531,-27.68,37.66,27.73,1,0,1,34.9,221,1,Bronze,1,364,0,0,23.32,37.05,-1.596,1
18-25_Asia-Pacific_Business_Medium,18-25,Asia-Pacific,Business,Medium,-3.9,1,2,8,10,-34.83,-20.2,0.308,-8.54,42.18,9.09,4,4,3,14.24,87,3,Bronze,0,30,3,7,100.0,50.46,2.0,0
46-55_Europe_Leisure_High,46-55,Europe,Leisure,High,-4.93,0,3,5,6,19.13,17.81,0.097,0.93,58.97,39.44,0,0,1,60.26,30,8,Silver,0,0,0,4,11.83,24.76,1.083,0
46-55_Asia-Pacific_Business_High,46-55,Asia-Pacific,Business,High,-8.7,1,3,14,17,-76.23,22.1,-0.061,-19.73,47.75,15.23,1,0,2,104.69,30,7,Gold,0,11,0,2,19.57,9.33,0.529,0
46-55_North America_Business_Medium,46-55,North America,Business,Medium,-1.05,0,1,1,2,20.0,-20.11,0.049,-1.62,18.69,30.95,0,0,2,24.55,6,4,Bronze,0,30,0,3,9.28,31.45,-0.018,0
26-35_Middle East_Leisure_High,26-35,Middle East,Leisure,High,-6.89,0,0,1,1,-32.66,17.08,-0.745,-45.18,49.18,5.77,2,1,1,68.73,315,1,Silver,0,61,1,1,51.73,27.2,-1.66,1
36-45_North America_Business_Medium,36-45,North America,Business,Medium,10.04,1,4,11,15,-31.4,-9.5,-0.164,-4.8,36.44,54.36,0,0,1,23.64,61,8,Platinum,0,12,0,7,16.31,44.78,-1.112,0
36-45_Middle East_Leisure_High,36-45,Middle East,Leisure,High,7.52,0,0,0,2,-30.84,-32.62,-1.354,-44.88,55.24,26.75,0,0,5,40.24,729,1,Gold,1,186,1,0,8.02,27.04,-1.432,1
18-25_Europe_Mixed_High,18-25,Europe,Mixed,High,-25.23,0,1,1,1,-16.03,-2.63,0.529,-80.33,81.06,0.0,0,0,3,31.18,19,11,Silver,0,4,0,5,0.0,71.68,1.504,0
26-35_Asia-Pacific_Leisure_Low,26-35,Asia-Pacific,Leisure,Low,0.59,1,0,2,3,-8.47,-24.51,0.263,-13.63,68.45,34.73,0,0,3,76.19,56,8,Bronze,0,16,1,6,10.42,8.82,0.026,0
46-55_Middle East_Business_Medium,46-55,Middle East,Business,Medium,-9.17,0,1,1,4,-56.01,-5.11,-1.264,0.31,63.38,10.82,0,0,2,2.58,190,0,Bronze,1,297,0,0,3.25,98.11,-1.455,1
18-25_Europe_Leisure_High,18-25,Europe,Leisure,High,-19.55,0,1,1,0,-10.38,-18.96,-1.751,-31.55,20.82,50.38,7,0,2,19.64,373,0,Bronze,0,248,0,2,100.0,100.0,-2.036,1
26-35_North America_Leisure_Low,26-35,North America,Leisure,Low,-0.04,1,3,5,17,7.27,21.88,-0.302,-48.95,43.79,14.71,0,1,3,27.59,47,12,Platinum,0,5,0,6,24.41,35.99,0.029,0
56-65_Europe_Leisure_Medium,56-65,Europe,Leisure,Medium,1.08,0,3,4,8,-45.5,-23.97,-0.731,10.0,70.75,30.73,0,0,1,19.03,83,5,Silver,0,23,2,7,9.22,30.49,-0.31,0
65+_North America_Business_High,65+,North America,Business,High,30.0,0,0,2,1,28.86,-34.33,-0.679,-13.97,64.84,39.3,1,3,2,4.64,431,1,Gold,0,314,1,0,86.79,67.83,-0.536,1
26-35_Asia-Pacific_Business_Low,26-35,Asia-Pacific,Business,Low,-38.3,0,4,7,11,-43.59,-2.77,0.823,-18.25,68.21,7.38,0,0,0,17.27,12,12,Gold,0,27,0,7,2.22,0.24,1.344,0
18-25_Europe_Leisure_High,18-25,Europe,Leisure,High,-12.04,0,0,2,3,-14.26,-5.72,0.723,-27.23,53.83,20.81,0,0,2,23.38,62,7,Silver,0,18,0,8,6.24,0.0,0.974,0
36-45_Middle East_Business_Medium,36-45,Middle East,Business,Medium,30.0,0,0,0,0,-18.83,1.88,-1.376,-26.07,57.64,22.21,0,0,2,61.92,330,0,Bronze,1,278,2,3,6.66,72.78,-1.4,1
46-55_Asia-Pacific_Leisure_Medium,46-55,Asia-Pacific,Leisure,Medium,-16.29,0,0,0,0,-21.02,-20.4,-1.576,-41.07,27.16,27.49,2,0,2,13.32,248,0,Silver,0,339,1,3,38.25,100.0,-1.923,1
65+_North America_Leisure_Medium,65+,North America,Leisure,Medium,0.46,1,1,2,4,13.31,10.34,0.843,-32.69,58.02,30.59,1,0,1,34.46,64,2,Gold,0,16,0,6,24.18,37.08,1.094,0
56-65_Middle East_Leisure_Medium,56-65,Middle East,Leisure,Medium,-1.95,0,1,3,0,-22.24,-13.74,-0.822,-7.42,73.36,36.42,1,1,4,24.25,538,0,Bronze,1,176,0,0,45.93,63.69,-1.866,1
