Passenger_Demographic_Segment,Age_Band,Home_Region,Traveller_Type,Income_Segment,Seasonal_Behaviour_Adjustment,Rolling_Flights_7_Days,Rolling_Flights_30_Days,Rolling_Flights_90_Days,Rolling_Flights_180_Days,Booking_Intent_Drop,Loyalty_Redemption_Trend,App_Web_Engagement_Slope,Email_Offer_Engagement_Decline,Support_Ticket_Momentum,Delay_Rate_Percent,Cancellation_Count,Baggage_Mishandling_Count,Support_Ticket_Count_6_12M,Avg_Resolution_Time_Hours,Days_Since_Last_Flight,Flights_Last_3_Months,Loyalty_Tier,Tier_Downgrade_Indicator,Days_Since_Last_Login,Refund_Count,Ancillary_Purchase_Count,Disruption_Stress_Score,Behavioural_Drift_Score,Engagement_Trend_Index,Churned
26-35_North America_Business_Medium,26-35,North America,Business,Medium,-26.45,0,0,0,0,5.44,5.41,-1.78,-1.89,2.95,18.12,0,0,0,18.91,124,0,Bronze,0,3,0,5,66.59,75.2,-1.44,1
46-55_Europe_Business_High,46-55,Europe,Business,High,-8.37,0,0,0,0,2.67,-17.72,-0.192,-31.35,7.8,41.48,0,0,6,24.54,152,1,Bronze,0,217,0,3,70.2,60.92,-0.699,1
26-35_Latin America_Leisure_High,26-35,Latin America,Leisure,High,-13.67,0,0,0,0,-22.14,-1.88,0.244,-24.05,3.01,44.5,0,0,2,9.55,121,1,Bronze,0,24,1,2,55.53,37.91,1.433,0
36-45_Middle East_Leisure_High,36-45,Middle East,Leisure,High,11.31,0,0,0,0,-15.28,13.52,1.0,-4.14,0.0,20.73,1,0,1,23.88,122,1,Bronze,1,154,0,4,41.1,0.0,0.158,1
46-55_Asia-Pacific_Business_Medium,46-55,Asia-Pacific,Business,Medium,-15.23,0,0,0,0,15.38,-26.22,-1.722,-22.14,10.05,30.87,0,0,4,77.05,115,1,Platinum,0,132,0,5,36.48,36.14,0.061,0
36-45_Europe_Business_Medium,36-45,Europe,Business,Medium,-2.28,0,0,0,0,1.76,-5.85,-0.667,-24.3,22.47,44.29,1,0,2,3.41,169,1,Gold,0,56,0,6,48.13,56.93,-0.679,1
18-25_Middle East_Leisure_High,18-25,Middle East,Leisure,High,-17.34,0,0,0,0,-31.49,2.87,-2.0,-1.7,34.97,14.91,0,0,2,3.94,154,1,Gold,0,54,0,3,53.74,100.0,-0.821,1
36-45_Europe_Mixed_High,36-45,Europe,Mixed,High,26.72,0,0,0,0,3.61,19.69,-2.0,-6.35,83.43,15.9,0,0,2,18.3,88,1,Gold,0,145,1,50,79.3,5.5,0.217,1
46-55_Middle East_Business_Medium,46-55,Middle East,Business,Medium,-13.98,0,0,0,0,16.62,-11.76,0.0,2.54,11.16,35.64,0,0,1,24.57,390,1,Platinum,0,166,0,2,51.99,17.83,-0.246,1
46-55_North America_Leisure_Low,46-55,North America,Leisure,Low,-3.46,0,0,0,0,-5.29,-13.48,-0.263,-6.82,1.55,21.55,0,0,1,23.04,296,1,Gold,0,78,3,5,53.92,41.76,-0.651,1
65+_Latin America_Leisure_Medium,65+,Latin America,Leisure,Medium,-9.68,1,0,0,0,14.43,-12.35,-1.339,1.43,6.69,40.94,0,0,1,5.48,161,1,Gold,0,0,0,5,36.84,6.77,0.534,0
46-55_Europe_Business_Medium,46-55,Europe,Business,Medium,-40.18,0,0,0,0,-39.54,6.14,1.0,-4.14,0.0,45.19,0,0,3,6.28,109,1,Platinum,0,72,0,2,40.48,56.13,-1.585,1
36-45_North America_Leisure_High,36-45,North America,Leisure,High,-12.48,0,0,0,0,10.44,27.63,0.532,-8.77,59.85,24.62,0,0,2,7.97,89,1,Bronze,0,159,1,1,84.65,26.94,0.04,1
56-65_North America_Business_Medium,56-65,North America,Business,Medium,-13.34,0,0,0,0,-23.22,18.5,1.0,-0.61,3.09,34.22,0,1,1,7.86,111,1,Silver,0,173,0,4,59.7,1.39,-2.789,1
65+_Middle East_Business_Low,65+,Middle East,Business,Low,7.22,0,0,0,0,-30.74,-12.95,1.0,-15.11,2.98,17.51,0,0,3,22.2,158,1,Silver,0,46,0,1,31.86,47.88,0.871,0
36-45_Asia-Pacific_Business_Low,36-45,Asia-Pacific,Business,Low,17.11,0,3,0,0,-6.5,3.6,-1.825,-10.48,10.07,8.66,0,0,2,17.54,81,1,Platinum,0,57,0,11,42.11,43.76,-0.435,0
36-45_Latin America_Mixed_Medium,36-45,Latin America,Mixed,Medium,6.59,0,0,0,0,-22.72,-16.02,-0.617,3.52,0.0,31.59,0,0,2,54.43,84,1,Platinum,0,138,0,4,49.49,62.72,0.652,1
65+_Asia-Pacific_Business_Medium,65+,Asia-Pacific,Business,Medium,-39.93,0,0,0,0,1.73,28.92,0.457,-1.73,42.73,43.79,1,0,0,28.15,136,1,Bronze,0,26,0,5,70.58,41.94,-1.966,1
46-55_Asia-Pacific_Leisure_Low,46-55,Asia-Pacific,Leisure,Low,10.9,1,0,0,0,-19.4,17.9,1.0,2.7,18.07,26.02,0,0,3,30.43,241,1,Silver,0,4,0,2,52.72,8.99,-0.889,0
65+_Europe_Leisure_Low,65+,Europe,Leisure,Low,-18.0,1,0,0,0,20.0,7.04,0.456,-6.05,5.79,42.04,0,1,3,22.13,191,1,Silver,0,11,0,2,62.36,45.43,2.0,0
18-25_Asia-Pacific_Business_Medium,18-25,Asia-Pacific,Business,Medium,-29.55,0,0,0,0,-4.44,15.9,-0.755,-0.67,0.0,38.68,0,0,3,27.81,147,1,Platinum,1,108,0,2,46.29,15.73,-0.406,1
36-45_Asia-Pacific_Business_Low,36-45,Asia-Pacific,Business,Low,-30.92,0,0,0,0,-6.46,-13.97,0.886,-19.11,10.46,10.69,0,0,5,5.69,97,1,Gold,0,63,0,3,54.09,7.94,1.066,1
26-35_Asia-Pacific_Business_Medium,26-35,Asia-Pacific,Business,Medium,6.3,0,0,0,0,-10.88,15.34,0.387,-17.02,4.69,30.62,0,0,0,0.5,79,1,Silver,0,80,0,6,34.87,30.7,-0.318,0
18-25_Middle East_Business_High,18-25,Middle East,Business,High,6.09,0,0,0,0,-33.72,-46.0,0.657,-12.88,28.47,37.82,0,0,0,9.73,149,1,Gold,1,115,0,4,41.8,49.19,1.03,1
36-45_North America_Business_High,36-45,North America,Business,High,-17.16,0,0,0,0,2.67,-0.11,-0.059,-6.03,12.61,36.78,0,0,2,12.48,94,1,Platinum,1,86,0,50,26.51,49.04,-2.188,1
36-45_Europe_Business_Medium,36-45,Europe,Business,Medium,27.7,0,0,0,0,-56.58,-33.91,-0.042,-11.17,25.2,73.19,0,0,1,24.9,90,1,Silver,0,27,0,3,52.62,48.38,-2.315,0
56-65_Middle East_Business_Medium,56-65,Middle East,Business,Medium,-17.3,0,0,0,0,-8.31,-13.52,-0.567,-4.75,11.57,14.13,0,0,3,13.04,237,1,Platinum,0,118,0,4,45.07,0.97,2.0,0
18-25_North America_Business_Medium,18-25,North America,Business,Medium,5.48,0,0,0,0,-9.01,-10.18,0.75,6.19,4.25,32.1,0,0,1,15.09,373,1,Platinum,0,118,3,5,44.38,38.98,0.003,1
18-25_Middle East_Leisure_Medium,18-25,Middle East,Leisure,Medium,-19.53,0,0,0,0,16.0,15.43,0.516,-8.54,6.6,47.88,0,0,2,78.15,115,1,Silver,0,152,0,3,57.92,34.89,-2.372,1
36-45_North America_Leisure_High,36-45,North America,Leisure,High,-17.93,0,0,0,0,-2.14,11.58,-0.936,-10.4,65.8,49.04,0,0,1,61.62,128,1,Gold,1,193,0,5,48.41,15.5,-1.614,0
56-65_Asia-Pacific_Business_Medium,56-65,Asia-Pacific,Business,Medium,-18.39,0,0,0,0,-1.26,29.42,0.011,-16.12,4.32,24.48,0,0,1,41.79,128,1,Bronze,0,89,0,1,40.67,0.0,-1.348,1
36-45_Europe_Business_High,36-45,Europe,Business,High,-4.24,0,3,0,0,-11.53,21.24,-0.611,-14.5,22.67,40.31,0,0,0,19.38,94,1,Bronze,0,23,1,11,44.65,42.69,0.917,0
26-35_North America_Business_High,26-35,North America,Business,High,3.49,1,0,0,0,-25.41,-12.3,1.0,-8.16,0.0,6.07,0,0,0,2.66,179,1,Gold,0,12,0,3,55.29,56.48,0.507,1
65+_North America_Leisure_High,65+,North America,Leisure,High,-15.45,0,0,0,0,8.06,1.35,1.0,-9.31,12.43,32.73,0,0,1,74.06,84,1,Platinum,1,63,0,4,53.14,16.57,-2.743,1
46-55_Europe_Business_Medium,46-55,Europe,Business,Medium,8.42,0,0,0,0,-17.87,40.0,-0.601,-20.28,20.47,26.57,0,0,3,78.68,95,1,Bronze,1,48,0,2,37.08,8.19,0.319,0
26-35_Asia-Pacific_Leisure_Medium,26-35,Asia-Pacific,Leisure,Medium,-39.18,0,0,0,0,13.86,-13.65,-2.0,-21.17,7.67,16.64,0,1,2,41.24,101,1,Bronze,0,114,0,3,54.31,95.96,-0.622,1
46-55_Middle East_Leisure_High,46-55,Middle East,Leisure,High,26.79,0,0,0,0,-20.08,2.49,1.0,-5.33,19.0,19.65,0,0,5,31.79,122,1,Platinum,0,157,0,3,56.38,25.93,1.095,1
65+_North America_Mixed_Medium,65+,North America,Mixed,Medium,9.34,0,0,0,0,-28.15,9.05,-1.711,-15.49,0.0,0.05,0,0,0,168.0,82,1,Bronze,1,15,0,2,50.76,40.25,-1.871,1
18-25_North America_Business_High,18-25,North America,Business,High,13.96,0,0,0,0,-31.65,-0.09,-2.0,-5.88,0.0,32.15,1,0,2,12.83,85,1,Gold,0,15,0,3,38.61,19.63,-1.091,1
26-35_Middle East_Business_Medium,26-35,Middle East,Business,Medium,22.75,0,0,0,0,-70.8,-4.46,-0.507,-11.23,10.69,43.26,0,0,2,5.93,90,1,Platinum,0,21,0,2,30.69,55.54,-1.1,1
56-65_North America_Business_Medium,56-65,North America,Business,Medium,-49.36,0,0,0,0,-11.06,-6.57,-0.041,-18.17,2.68,12.77,0,1,0,7.5,133,1,Gold,0,45,0,2,61.72,50.2,-0.64,1
36-45_Asia-Pacific_Business_Low,36-45,Asia-Pacific,Business,Low,20.99,1,0,0,23,-9.28,9.74,0.252,-9.63,0.0,34.62,0,1,1,1.51,219,1,Platinum,0,1,1,4,45.73,61.73,-1.835,0
56-65_Latin America_Business_High,56-65,Latin America,Business,High,27.1,0,0,0,0,-19.44,21.5,-0.818,10.0,58.31,7.49,2,0,0,6.42,206,1,Gold,0,66,1,0,65.55,12.43,-2.861,0
46-55_Europe_Mixed_Medium,46-55,Europe,Mixed,Medium,-36.96,2,0,0,14,-22.37,16.81,-1.505,-15.94,0.0,44.19,0,0,4,27.07,207,1,Platinum,0,3,0,3,9.12,11.56,-0.562,1
65+_Europe_Business_Low,65+,Europe,Business,Low,13.95,0,0,0,0,-6.0,-5.64,0.624,-27.83,5.54,17.28,0,0,2,6.07,244,3,Platinum,1,69,0,7,58.8,22.73,0.487,0
65+_Middle East_Mixed_High,65+,Middle East,Mixed,High,-8.73,2,0,0,0,-26.74,-10.97,0.564,-23.46,10.05,37.91,0,0,1,85.68,170,1,Bronze,0,6,0,3,62.62,29.65,0.776,0
56-65_North America_Leisure_Medium,56-65,North America,Leisure,Medium,-20.51,0,0,0,10,7.65,-19.67,-0.462,-36.35,0.0,2.83,0,0,1,0.5,149,1,Gold,1,235,0,6,8.66,41.68,-0.266,1
26-35_North America_Leisure_High,26-35,North America,Leisure,High,-7.1,0,0,0,0,-13.58,-14.01,1.0,-34.13,19.66,27.72,0,0,4,62.19,219,0,Silver,0,121,0,8,64.43,62.11,0.684,1
56-65_Asia-Pacific_Business_High,56-65,Asia-Pacific,Business,High,-12.26,0,0,0,19,-6.78,8.66,-0.957,-46.81,0.0,4.87,0,0,2,22.73,156,1,Platinum,0,195,0,6,32.25,43.13,-0.275,0
26-35_North America_Leisure_Medium,26-35,North America,Leisure,Medium,-14.73,0,0,0,18,7.38,11.76,1.0,10.0,14.44,0.04,0,0,1,7.2,236,0,Platinum,0,194,0,2,56.62,57.82,-0.136,0
26-35_Europe_Business_Medium,26-35,Europe,Business,Medium,-15.73,0,0,0,10,-0.82,-44.37,-2.0,-27.02,0.0,6.62,0,0,4,19.84,160,0,Gold,0,211,0,3,0.0,45.91,-0.417,0
18-25_North America_Leisure_High,18-25,North America,Leisure,High,-40.38,0,0,0,0,-48.32,7.91,-0.6,-6.0,4.17,58.34,0,0,3,17.42,30,0,Platinum,0,79,3,3,0.88,12.77,1.261,1
26-35_Asia-Pacific_Mixed_High,26-35,Asia-Pacific,Mixed,High,4.7,0,0,0,0,-42.58,4.23,-0.57,-9.31,14.71,29.58,0,0,2,53.29,309,0,Gold,0,55,0,11,56.66,0.0,0.418,0
26-35_Europe_Business_Medium,26-35,Europe,Business,Medium,-7.73,0,0,0,20,-5.1,6.66,-0.384,10.0,0.0,40.48,0,0,3,46.35,262,2,Gold,0,67,0,2,51.19,53.94,-2.564,1
65+_Asia-Pacific_Mixed_High,65+,Asia-Pacific,Mixed,High,29.42,0,0,0,20,20.0,-20.54,-2.0,1.65,16.21,15.33,0,0,4,13.28,294,0,Platinum,0,93,0,4,50.49,38.43,0.922,1
36-45_Asia-Pacific_Leisure_Low,36-45,Asia-Pacific,Leisure,Low,-10.03,0,0,0,23,-13.48,6.1,-1.15,-24.75,8.81,32.65,0,1,2,20.33,183,0,Gold,0,89,0,2,72.57,55.09,-0.297,1
36-45_North America_Mixed_High,36-45,North America,Mixed,High,-38.05,0,0,0,15,-50.41,-13.29,0.973,-40.49,0.21,12.24,0,0,2,19.25,239,1,Gold,1,133,0,7,61.99,8.25,0.518,1
46-55_Europe_Business_High,46-55,Europe,Business,High,-11.73,0,0,1,0,-12.06,21.9,0.747,-70.17,70.82,5.15,1,0,0,0.5,242,1,Silver,0,92,0,5,74.18,41.86,-1.216,1
56-65_Europe_Leisure_Medium,56-65,Europe,Leisure,Medium,13.37,0,0,0,11,13.42,-33.22,1.0,-25.6,6.29,10.98,1,0,5,18.03,253,0,Gold,0,240,0,6,27.84,50.94,0.896,1
36-45_Middle East_Business_High,36-45,Middle East,Business,High,-10.01,0,0,0,0,-27.46,-12.41,0.198,-22.29,0.0,13.1,0,0,4,16.28,375,0,Bronze,0,42,0,1,26.88,25.04,-1.975,0
18-25_Europe_Mixed_Medium,18-25,Europe,Mixed,Medium,-9.27,0,0,0,24,11.15,-36.5,-0.737,10.0,4.88,1.79,0,0,1,57.68,265,0,Gold,0,115,0,6,32.58,48.96,-0.932,0
65+_Middle East_Leisure_Low,65+,Middle East,Leisure,Low,-0.96,0,0,0,0,-26.93,-8.74,1.0,-28.23,4.33,11.02,0,0,4,7.51,97,2,Gold,0,63,1,4,60.15,57.43,0.38,1
26-35_Middle East_Mixed_High,26-35,Middle East,Mixed,High,-15.05,0,0,0,0,-45.99,-2.41,1.0,-35.43,10.17,11.38,0,0,0,19.65,438,0,Bronze,0,210,0,2,49.99,16.26,-1.408,1
56-65_North America_Leisure_Medium,56-65,North America,Leisure,Medium,28.99,0,2,0,0,-40.48,38.27,-1.298,2.09,5.8,31.36,0,0,0,12.13,201,0,Gold,0,136,0,10,54.49,57.13,-1.251,0
46-55_North America_Business_Medium,46-55,North America,Business,Medium,27.55,0,0,1,0,-21.17,-25.56,-0.335,-41.43,14.37,5.09,0,1,0,15.09,109,0,Silver,0,68,1,3,18.46,28.22,-0.265,1
36-45_Europe_Leisure_Medium,36-45,Europe,Leisure,Medium,-14.56,0,1,0,0,-74.75,-19.31,-0.535,-36.49,0.0,24.28,0,0,3,4.57,347,0,Silver,0,65,0,11,22.18,11.83,-0.719,0
36-45_Asia-Pacific_Mixed_High,36-45,Asia-Pacific,Mixed,High,-2.07,0,0,0,16,-12.33,-12.43,-0.481,-20.09,0.0,32.66,1,0,2,28.8,158,1,Gold,0,233,0,5,12.02,23.34,-2.927,0
65+_Europe_Leisure_Low,65+,Europe,Leisure,Low,0.66,0,0,0,0,16.06,9.34,0.698,-8.3,77.38,21.84,0,0,1,41.09,209,0,Gold,1,62,0,14,64.7,25.19,-2.186,1
36-45_Europe_Leisure_Medium,36-45,Europe,Leisure,Medium,26.36,1,0,0,8,-19.79,1.3,0.296,6.44,0.0,14.25,0,0,4,6.21,141,2,Platinum,1,9,0,3,20.39,28.34,0.918,0
56-65_Europe_Business_Medium,56-65,Europe,Business,Medium,5.34,1,0,0,15,-11.36,40.0,-1.017,-37.82,0.0,42.48,0,0,3,42.7,122,0,Platinum,0,12,2,2,43.15,4.32,-0.592,1
18-25_Europe_Leisure_Low,18-25,Europe,Leisure,Low,-18.62,1,0,0,0,-43.85,-3.84,0.0,-33.34,9.86,33.74,0,0,3,16.16,214,0,Silver,0,5,0,2,0.0,0.0,2.0,1
56-65_Middle East_Business_Low,56-65,Middle East,Business,Low,-2.79,0,0,0,3,0.42,-14.38,1.0,7.1,9.96,17.45,0,0,1,53.07,178,0,Silver,0,83,0,1,52.64,9.78,-1.427,1
36-45_Asia-Pacific_Business_High,36-45,Asia-Pacific,Leisure,High,-7.86,0,0,0,3,15.34,30.98,0.053,5.08,8.26,51.94,0,1,2,23.29,184,0,Platinum,0,206,1,4,16.45,57.03,-0.455,1
65+_Latin America_Leisure_Medium,65+,Latin America,Leisure,Medium,-10.25,0,0,0,1,-36.69,8.33,-2.0,10.0,47.88,11.67,0,0,1,18.01,262,1,Bronze,0,143,0,4,66.36,32.49,-1.306,1
18-25_North America_Business_Low,18-25,North America,Leisure,Low,-16.72,0,1,0,0,-10.25,-19.86,0.374,-29.74,0.0,42.02,0,0,2,31.88,232,0,Bronze,1,94,0,9,50.89,27.02,1.996,0
18-25_Europe_Mixed_High,18-25,Europe,Leisure,High,1.03,0,0,0,0,-2.72,-8.56,-2.0,-20.78,19.62,21.97,0,0,2,21.67,141,0,Gold,0,136,0,2,65.43,64.19,0.016,1
18-25_Europe_Leisure_Low,18-25,Europe,Business,Low,-17.58,0,0,0,7,-5.78,38.1,1.0,-6.93,0.0,33.74,0,0,0,16.57,165,1,Silver,0,12,0,3,41.95,17.13,-1.863,0
36-45_Latin America_Mixed_High,36-45,Latin America,Business,High,-13.37,0,0,0,7,-16.28,-0.73,0.455,9.81,1.1,29.22,0,0,2,38.6,165,1,Silver,0,75,0,7,29.94,76.57,-0.557,1
